project_id,project_title,project_type,deadline_days,base_revenue,complexity_level,client_priority,team_experience_level,historical_delay_rate,actual_completion_days,completed_on_time,delay_days,final_revenue_realized
1,E-Commerce Platform,Web Development,3,80000,Medium,High,Senior Team,15%,2,Yes,0,80000
2,Payment API Integration,Backend Development,2,60000,High,Very High,Mid-Level Team,30%,3,No,1,54000
3,Mobile UI Enhancement,Mobile Development,1,50000,Low,Medium,Senior Team,10%,1,Yes,0,50000
4,CRM System Upgrade,Web Development,4,100000,Very High,Very High,Junior Team,40%,5,No,1,90000
5,SEO Optimization,Marketing,2,30000,Very Low,Low,Senior Team,5%,2,Yes,0,30000
6,Testing Automation Setup,Quality Assurance,3,40000,Low,Medium,Senior Team,12%,3,Yes,0,40000
7,Payment Gateway Module,Backend Development,2,120000,Very High,Very High,Mid-Level Team,35%,3,No,1,108000
8,AI Chatbot Development,AI Development,5,150000,High,Very High,Junior Team,45%,6,No,1,120000
9,Bug Fixing Task,Maintenance,1,20000,Very Low,Low,Senior Team,2%,1,Yes,0,20000
10,Analytics Dashboard,Data Engineering,3,90000,Medium,High,Senior Team,18%,3,Yes,0,90000
11,Inventory System,Web Development,2,70000,Medium,High,Mid-Level Team,20%,3,No,1,63000
12,Recommendation Engine,AI Development,4,140000,Very High,High,Senior Team,38%,4,Yes,0,140000
13,Email Marketing Setup,Marketing,1,25000,Low,Medium,Junior Team,8%,1,Yes,0,25000
14,Cloud Migration,Backend Development,5,160000,Very High,Very High,Senior Team,42%,6,No,1,144000
15,Mobile App Backend,Backend Development,3,85000,High,High,Mid-Level Team,28%,3,Yes,0,85000
16,UI Redesign,Web Development,2,60000,Medium,Medium,Senior Team,14%,2,Yes,0,60000
17,Data Pipeline Setup,Data Engineering,4,110000,High,High,Mid-Level Team,32%,5,No,1,99000
18,Chat Support Integration,AI Development,3,95000,High,Very High,Junior Team,37%,4,No,1,85500
19,Performance Optimization,Maintenance,2,45000,Low,Medium,Senior Team,9%,2,Yes,0,45000
20,Reporting Tool,Data Engineering,3,75000,Medium,High,Senior Team,16%,3,Yes,0,75000
21,Customer Portal Upgrade,Web Development,3,82000,Medium,High,Senior Team,17%,3,Yes,0,82000
22,Microservices Refactor,Backend Development,4,130000,Very High,Very High,Mid-Level Team,34%,5,No,1,117000
23,Social Media Campaign,Marketing,2,35000,Low,Medium,Senior Team,7%,2,Yes,0,35000
24,Database Optimization,Data Engineering,3,92000,High,High,Senior Team,26%,3,Yes,0,92000
25,Mobile Payment Fix,Mobile Development,2,68000,Medium,High,Mid-Level Team,19%,3,No,1,61200
26,AI Fraud Detection,AI Development,5,180000,Very High,Very High,Senior Team,44%,6,No,1,162000
27,Landing Page Design,Web Development,1,30000,Low,Medium,Junior Team,11%,1,Yes,0,30000
28,Server Monitoring Setup,Backend Development,3,75000,Medium,High,Senior Team,21%,3,Yes,0,75000
